UnsFeggZere4y8Ez077Rpg;10;0;2116;dec/MIPLIB/miplib2/stein15.0.s.opb;6;0;9;39;1;1;0;0;0;18;0;0;0;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;-;;
4rmw28BGIHTZMdPh6T9TmQ;20;0.030000000000000027;7820;dec/MIPLIB/miplib2/stein15.0.u.opb;138;124;517;45;13;7;0;6;6;118;0;0;0;0;0;0;5;0;0;2;0;0.00;0.01;0.00;2.33;3.81;6;-;;
wGKffBAMkcrkc9dscSECyA;10;0.020000000000000018;7476;dec/MIPLIB/miplib2/stein9.0.s.opb;7;0;2;15;1;1;0;0;0;9;0;0;0;0;0;0;3;0;0;1;0;0.00;0.01;0.00;0.00;0.00;0;-;;
St1J61moHvXouQwqU4nsOw;20;0.040000000000000036;4020;dec/MIPLIB/miplib2/stein9.0.u.opb;15;14;54;16;2;2;0;0;0;13;0;0;0;0;0;0;6;0;0;1;0;0.00;0.00;0.00;0.00;2.64;1;-;;
MsqHDZEauPr+K0C3G6TO7A;20;90.24;86048;dec/MIPLIB/miplib2003/cap6000.0.s.opb;20269;2957;229066;2326;277;256;16;21;21;2687;0;0;0;0;0;0;728;0;7;2;11;1.49;3.56;0.23;312.38;784.96;22;-;;
1TDZztoTGKRHnM+dpQuiAA;20;60.81;99252;dec/MIPLIB/miplib2003/cap6000.0.u.opb;18275;2573;179634;2340;210;187;10;23;23;2392;0;0;0;0;0;0;699;0;21;2;14;1.20;3.02;0.36;825.09;899.79;22;-;;
rj2gN4f+Hgx2Lpv01NMy9g;10;15.77;111320;dec/MIPLIB/miplib2003/disctom.0.s.opb;9487;42;2248;907;1;1;0;0;0;12226;0;0;0;0;0;0;4605;0;0;113;0;5.61;9.97;4.35;0.00;8948.50;0;-;;
xNQbOMSIgdjBaEbN1E-ttA;20;63.870000000000005;16008;dec/MIPLIB/miplib2003/disctom.0.u.opb;0;0;0;794;1;0;0;1;1;95287;0;0;0;0;0;0;0;0;0;0;0;63.68;63.68;0.00;0.00;0.00;0;-;;
qw+qrP91zGdVmDNoRuTcGg;100;3000;772308;dec/MIPLIB/miplib2003/ds.0.s.opb;7063621;122244;695886919;1637;77;18;0;0;0;122269;0;0;0;0;0;0;134;0;226;98;268;599.00;1101.30;501.60;0.00;2750.40;0;-;;
O5wkPqyhCXKBRmVaDbuXuQ;100;3000;809484;dec/MIPLIB/miplib2003/ds.0.u.opb;4495543;133755;634162359;1687;87;19;0;0;0;133770;0;0;0;0;0;0;122;0;256;118;311;785.77;1344.30;557.80;0.00;2553.72;0;-;;
PjY8aYIt0sPNWMoMJQUzTg;100;3000;218000;dec/MIPLIB/miplib2003/harp2.0.u.opb;965948;547066;75079149;1627;4582;1532;168;615;614;2169355;3;2;0;0;0;1;2232;0;762;305;1357;706.38;716.00;6.35;172.62;146.09;374;-;;
5HW6dJ8DRH01brlvY0J4QQ;100;3000;740048;dec/MIPLIB/miplib2003/manna81.3303.s.opb;3490793;32235;54177346;26945;8;8;0;0;0;138535;0;0;0;0;0;0;19596;0;944;1192;1832;100.15;117.14;16.89;0.00;3737.15;0;-;;
iQWrRlt1P6mhYViDrMnoZw;100;3000;691936;dec/MIPLIB/miplib2003/manna81.3303.u.opb;4180616;39684;80225882;27460;10;10;0;0;0;178913;0;0;0;0;0;0;19805;0;1453;1198;2348;135.77;156.52;20.65;0.00;3593.63;0;-;;
GQ3kMI4wM05SNU+M8GI2SA;100;3000;143900;dec/MIPLIB/miplib2003/mzzv11.251.s.opb;-;;
SUnMNr-RGuZyz5PSD4GqEQ;20;512.46;129396;dec/MIPLIB/miplib2003/mzzv11.251.u.opb;305137;29834;39256202;22660;7;7;0;0;0;198130;0;0;0;0;0;0;1552;0;987;249;796;344.69;377.67;32.93;0.00;106.72;0;-;;
