rcmSCjI9htrK0bnWMTY4rg;100;3000;860976;dec/MIPLIB/miplib2003/harp2.0.u.opb;9268554;3092107;183782478;887.14;1.50;2226265;44684;821158;-;;
5RQv95tjXX4cr6ObBuyiLw;100;3000;999312;dec/MIPLIB/miplib2003/manna81.3303.s.opb;4863197;75817;162964852;7595.72;2293.95;50712;13823;11282;-;;
-J9mAWzP72StDw-VQNGTyA;100;3000;955724;dec/MIPLIB/miplib2003/manna81.3303.u.opb;6268750;90169;160285614;6633.05;2404.90;56163;28665;5341;-;;
VlAP999EGwefx5TjbkU-Dw;10;57.68;26420;dec/MIPLIB/miplib2003/mzzv11.251.s.opb;220041;19165;20271789;147.57;94.18;11711;1028;6426;-;;
HmdFUPVn8VQI+ufwo+5fxQ;20;113.18;31536;dec/MIPLIB/miplib2003/mzzv11.251.u.opb;264799;24800;29219772;194.83;147.82;14554;1602;8644;-;;
iroNRUZmRs-2Ar2aQd+C2g;10;78.25;26100;dec/MIPLIB/miplib2003/mzzv42z.235.s.opb;159074;37939;45770088;115.63;38.88;24151;2685;11103;-;;
dNV23IcUidvNej3Bgn3a6A;20;113.82;29696;dec/MIPLIB/miplib2003/mzzv42z.235.u.opb;191511;49005;60325117;119.84;46.96;29534;3420;16051;-;;
ysr++aoxabEDuYQt8Cb+8g;100;3000;284104;dec/MIPLIB/miplib2003/protfold.0.s.opb;6306433;2520466;333045627;323.83;4.55;2177751;171920;170795;-;;
pv9mQ9rl6LqVHwxOYWNqsw;100;3000;272712;dec/MIPLIB/miplib2003/protfold.0.u.opb;6240261;2526699;351451784;316.06;4.60;2180497;172531;173671;-;;
CRWfJd1eZcZ34WcCGdz-Fw;100;3000;712092;dec/MIPLIB/miplib2003/sp97ar.0.s.opb;5217031;631297;1783906796;2065.27;1.58;587981;3;43313;-;;
nQMpYJlhpnLZLnC7itvL6Q;100;3000;740788;dec/MIPLIB/miplib2003/sp97ar.0.u.opb;4880004;591409;1565516263;2320.35;1.61;549905;107;41397;-;;
m3VHfpPY5EFKl10TxZ1NhA;100;3000;299604;dec/MIPLIB/miplib2003/stp3d.0.s.opb;5055674;619066;2188897978;317.75;68.32;437497;106847;74722;-;;
MsXANduOHlGeqzHPrvJR5w;100;3000;330688;dec/MIPLIB/miplib2003/stp3d.0.u.opb;4580653;569179;1967869848;369.08;74.08;395152;99573;74454;-;;
PYv-r9tK1QjYVVBvBd5FUQ;10;0.74;28532;dec/MIPLIB/miplib2003/t1717.0.d.opb;73687;0;198;0.00;0.00;0;0;0;-;;
1zhxk78owr8OI250sirrVg;10;30.12;62880;dec/MIPLIB/miplib2010/30n20b8.7344.s.opb;911907;125756;13875135;196.42;47.21;115242;1247;9267;-;;
ThgRxhCp6WRSbBE7PAmlnw;20;35.84;79368;dec/MIPLIB/miplib2010/30n20b8.7344.u.opb;933316;137833;18120778;233.00;31.33;128630;1599;7604;-;;
AL89Ve05TvI7qVe6RJaJhw;10;0.020000000000000018;8024;dec/MIPLIB/miplib2010/acc-tight4.0.s.opb;2946;1188;132825;66.64;3.64;894;267;27;-;;
CnKWSYS-P5NrJkyIUgJN7Q;20;0.030000000000000027;2072;dec/MIPLIB/miplib2010/acc-tight4.0.u.opb;0;0;0;0.00;0.00;0;0;0;-;;
XLRz6LNcJ5eIZZmN6kT4LQ;10;0.20999999999999996;6792;dec/MIPLIB/miplib2010/acc-tight5.0.s.opb;6380;2568;390293;42.52;2.87;2001;496;71;-;;
IjMrcRRWNW2sclJSMi5W2A;20;0.030000000000000027;2084;dec/MIPLIB/miplib2010/acc-tight5.0.u.opb;0;0;0;0.00;0.00;0;0;0;-;;
8kmU4rnjObHM9kttO2CudQ;10;0.30000000000000004;8024;dec/MIPLIB/miplib2010/acc-tight6.0.s.opb;6386;2754;430414;40.69;2.65;2162;531;61;-;;
RSZK6XapVWb1S+lSasRHUw;20;0.030000000000000027;5296;dec/MIPLIB/miplib2010/acc-tight6.0.u.opb;0;0;0;0.00;0.00;0;0;0;-;;
XgMkHHLB1vml+ySc5EcZOg;20;0.010000000000000009;8408;dec/MIPLIB/miplib2010/ash608gpia-3col.0.d.opb;20;15;4285;3.20;1.47;8;7;0;-;;
INJhjO1p5xJZMG85vgDsMg;10;50.63;157880;dec/MIPLIB/miplib2010/bab1.0.d.opb;656928;30843;10731518;1912.24;63.96;19468;3814;7561;-;;
XxHDRRieNNH8qSNH4ae1Pg;100;3000;2191372;dec/MIPLIB/miplib2010/bab3.0.d.opb;12497867;97591;585688817;14941.66;1939.18;33194;18842;45555;-;;
sLchFJTEGlRmrcDyVH5weQ;100;3000;915360;dec/MIPLIB/miplib2010/bab5.0.s.opb;6382196;890715;325186169;3179.16;34.43;640461;77324;172930;-;;
uDg1eOBrmSlPM7JOuU4FIw;100;3000;980004;dec/MIPLIB/miplib2010/bab5.0.u.opb;6333686;870233;335062591;3153.79;30.11;637309;68611;164313;-;;
meHkdgW-JDa8Ork-ikC2Vg;10;228.96;47052;dec/MIPLIB/miplib2010/bley_xl1.0.s.opb;1640760;1064888;243573431;25.27;5.04;864424;38640;161824;-;;
MlD-yC9LAk8+of4RhyRJ3w;100;3000;78376;dec/MIPLIB/miplib2010/bley_xl1.0.u.opb;10042216;6616079;1233430912;25.75;5.38;5294096;202979;1119004;-;;
JQHpsQBzEx3H+RBmxbyJpA;10;0.81;9832;dec/MIPLIB/miplib2010/bnatt350.0.s.opb;9409;5439;1947019;46.67;1.00;5439;0;0;-;;
n+kpLjx72s0vkCznieSCnw;20;0.030000000000000027;7132;dec/MIPLIB/miplib2010/bnatt350.0.u.opb;0;0;0;0.00;0.00;0;0;0;-;;
smQls9u1elPw+hOwIN8vfA;10;0.47;9604;dec/MIPLIB/miplib2010/bnatt400.0.s.opb;8050;4260;1589059;36.98;1.00;4260;0;0;-;;
wZlnU-LGtnKh+wcdWe1jnA;20;0.78;9208;dec/MIPLIB/miplib2010/bnatt400.0.u.opb;9021;5316;1979939;35.98;1.00;5316;0;0;-;;
x9ZiddEhcrcFw4ZrVmcVpg;10;0.15999999999999992;11340;dec/MIPLIB/miplib2010/circ10-3.0.d.opb;1412;146;17475;58.54;7.35;102;31;13;-;;
7ASXYvjNGY4gfokBfqBEhA;100;3000;1442764;dec/MIPLIB/miplib2010/co-100.0.s.opb;3308346;235890;661999472;4701.62;5.49;183808;125;51957;-;;
aJgFGSTRC7iddx9tTmPcdg;100;3000;764244;dec/MIPLIB/miplib2010/co-100.0.u.opb;2338428;280141;504160435;3634.37;3.94;201568;298;78275;-;;
v+LP-geX3NoNK9ZSRaNysQ;10;860.51;39080;dec/MIPLIB/miplib2010/cov1075.0.s.opb;901708;509079;12506307;46.71;10.09;272412;54445;182222;-;;
PlejGZzm5Qox7P5fltNe3Q;100;3000;55528;dec/MIPLIB/miplib2010/cov1075.0.u.opb;2398472;1424699;39289092;42.61;7.38;846854;94139;483706;-;;
TiobqY389unRkzHKHp5xtg;100;3000;395512;dec/MIPLIB/miplib2010/d10200.1267.s.opb;20826489;14543656;437598809;191.05;1.10;14115964;990;426702;-;;
inMSkBzSqmP4bFigkfgGhg;100;3000;396268;dec/MIPLIB/miplib2010/d10200.1267.u.opb;20605388;14336268;428755666;191.34;1.08;13980996;1152;354120;-;;
HWSetvWGKVJ0e0pbv2Z-Ow;10;0.030000000000000027;8024;dec/MIPLIB/miplib2010/d20200.819.d.opb;6574;408;45453;248.35;1.11;396;0;12;-;;
H0nf--5cSQEuZN0jjo1ZMw;100;3000;1181392;dec/MIPLIB/miplib2010/datt256.0.d.opb;23580971;460501;1713686230;4221.49;39.42;279662;142510;38329;-;;
w4oJpaOzbIMZrCWZ2UbEgA;10;12.31;154844;dec/MIPLIB/miplib2010/ds-big.0.d.opb;332338;121;1321854;4378.11;1588.25;2;100;19;-;;
Xjy-GTykY-bxbqeHwOPs0A;100;3000;758292;dec/MIPLIB/miplib2010/eil33-2.0.s.opb;6097296;862958;472935665;2390.22;2.06;857638;1385;3935;-;;
aPthOk1FqxnjOFyNKhWPzw;100;3000;797588;dec/MIPLIB/miplib2010/eil33-2.0.u.opb;6082344;834635;449349399;2531.96;1.57;832129;488;2018;-;;
jpvMeaJHuzfqmGAoySRILA;100;3000;576136;dec/MIPLIB/miplib2010/eilA101-2.0.s.opb;994680;12980;141391531;14476.08;13.83;12671;215;94;-;;
oUcVGGmJhHeHSmY4JV5J-g;100;3000;607656;dec/MIPLIB/miplib2010/eilA101-2.0.u.opb;650343;11452;169244121;14366.61;12.71;11192;180;80;-;;
