cw20JbMr5J4ZgefnWE751A;20;270.05;1654188;dec/MIPLIB/miplib2003/mzzv11.251.s.opb;SATISFIABLE;394;42473;656605;931505156;-;;
afebWYt4wxwMn7wM86eLhQ;20;244.96;1661444;dec/MIPLIB/miplib2003/mzzv11.251.u.opb;UNSATISFIABLE;358;39346;482775;786852832;-;;
8RnF6Un5zvy9hrLZ9DiQMA;20;121.92;979936;dec/MIPLIB/miplib2003/mzzv42z.235.s.opb;SATISFIABLE;147;18374;224215;407555646;-;;
FTIJX3EQffxOqmk4s5LysA;20;127.80000000000001;974420;dec/MIPLIB/miplib2003/mzzv42z.235.u.opb;UNSATISFIABLE;145;17711;182608;412369506;-;;
csDV5m1bQ4qQHsyt0wJ6Tg;100;3000;322504;dec/MIPLIB/miplib2003/protfold.0.s.opb;UNKNOWN;0;0;0;0;-;;
FnO-tLnDbi6h5TutGdUSlA;100;3000;327884;dec/MIPLIB/miplib2003/protfold.0.u.opb;UNKNOWN;0;0;0;0;-;;
JTpA9HZ60VQUoOoP52tOnQ;100;3000;11685084;dec/MIPLIB/miplib2003/sp97ar.0.s.opb;UNKNOWN;0;0;0;0;-;;
bAx30RoVx-dSZ+IXr1tNUg;100;3000;11689272;dec/MIPLIB/miplib2003/sp97ar.0.u.opb;UNKNOWN;0;0;0;0;-;;
1eLtcT2qVs-1TlxF4qLFww;137;447.22;16238764;dec/MIPLIB/miplib2003/stp3d.0.s.opb;-;;
UFLjz+7Q3ovxsYmqCx6Mbg;137;447.92;16234452;dec/MIPLIB/miplib2003/stp3d.0.u.opb;-;;
sQXU36OR5cGJQf1rJ958UQ;20;17.88;401380;dec/MIPLIB/miplib2003/t1717.0.d.opb;SATISFIABLE;1;205;69330;2850790;-;;
Rg0-k1dlkqEF2-pwY6U2Gg;20;2061.79;2550688;dec/MIPLIB/miplib2010/30n20b8.7344.s.opb;SATISFIABLE;1539;188645;4331510;5475474785;-;;
AmnH75I4gaq4HixKMFryPQ;20;2281.79;2559660;dec/MIPLIB/miplib2010/30n20b8.7344.u.opb;UNSATISFIABLE;1383;180216;3112091;5610732533;-;;
8QIUiiVwHY04gk401+FXOA;20;1.02;21232;dec/MIPLIB/miplib2010/acc-tight4.0.s.opb;SATISFIABLE;54;6571;18757;2478594;-;;
pNhUMpWYMf-quzcPoCsdEA;20;0.030000000000000027;2112;dec/MIPLIB/miplib2010/acc-tight4.0.u.opb;UNSATISFIABLE;0;0;0;0;-;;
IGVE865kZxYTLq8kkWEX9g;20;0.75;16360;dec/MIPLIB/miplib2010/acc-tight5.0.s.opb;SATISFIABLE;17;4070;9801;1741934;-;;
jTxQYm-gzADjQz09BX21Ww;20;0.020000000000000018;4028;dec/MIPLIB/miplib2010/acc-tight5.0.u.opb;UNSATISFIABLE;0;0;0;0;-;;
DioHwW7--yAhA3xKZELBcQ;20;0.6399999999999999;18940;dec/MIPLIB/miplib2010/acc-tight6.0.s.opb;SATISFIABLE;30;3748;10163;1751504;-;;
fcMFGujXqFBXxg7uhk7daQ;20;0.030000000000000027;4088;dec/MIPLIB/miplib2010/acc-tight6.0.u.opb;UNSATISFIABLE;0;0;0;0;-;;
ZhGM8x6-tvpQo5Ib1JFDgA;20;2.19;48876;dec/MIPLIB/miplib2010/ash608gpia-3col.0.d.opb;UNSATISFIABLE;1;24;24;50409;-;;
zj-01jBSHcnfzXBDwEXa5Q;20;0.020000000000000018;3155576;dec/MIPLIB/miplib2010/bab1.0.d.opb;SATISFIABLE;4622;633244;5541297;8303843920;-;;
E1BtTR7hkl3-3tQ+2L8ZNg;137;636.91;16239836;dec/MIPLIB/miplib2010/bab3.0.d.opb;-;;
uNCUGoeVtGR4RiHDtOGEyA;100;3000;14926612;dec/MIPLIB/miplib2010/bab5.0.s.opb;UNKNOWN;0;0;0;0;-;;
Vesj9PTR-lYL39QbQFblhA;100;3000;14927608;dec/MIPLIB/miplib2010/bab5.0.u.opb;UNKNOWN;0;0;0;0;-;;
zOaEZUwSEBN+Rm9ytQOHUA;20;512.03;1342240;dec/MIPLIB/miplib2010/bley_xl1.0.s.opb;SATISFIABLE;855;345401;847320;1648765235;-;;
ywlMBnLFjwOxwIQvx5o23Q;20;355.53;1341960;dec/MIPLIB/miplib2010/bley_xl1.0.u.opb;UNSATISFIABLE;621;171456;433932;1044410243;-;;
Okw0hLtWnMwyreH1FUgTAA;20;0.32000000000000006;6352;dec/MIPLIB/miplib2010/bnatt350.0.s.opb;SATISFIABLE;1;763;893;51071;-;;
hGHp6NYFmkjZxfeOizeC8A;20;0.030000000000000027;4240;dec/MIPLIB/miplib2010/bnatt350.0.u.opb;UNSATISFIABLE;0;0;0;0;-;;
emy-9qGHeVhxubTLTryBRA;20;0.3600000000000001;9816;dec/MIPLIB/miplib2010/bnatt400.0.s.opb;SATISFIABLE;1;1627;2016;119584;-;;
6RNmCGp1vmw9sceXEsl+8A;20;0.25;5764;dec/MIPLIB/miplib2010/bnatt400.0.u.opb;UNSATISFIABLE;1;1644;2024;119777;-;;
CH1us3W1mVt4L8e6-PURDQ;20;5.2;73984;dec/MIPLIB/miplib2010/circ10-3.0.d.opb;SATISFIABLE;4;168;7454;124899;-;;
KaigTFei3o7p-8H8jykF2A;137;663.73;16239212;dec/MIPLIB/miplib2010/co-100.0.s.opb;-;;
rFeqMyT-s2LYlReJGa2fTw;137;627.35;16241168;dec/MIPLIB/miplib2010/co-100.0.u.opb;-;;
cptm0EGSXgK1ngkW5yLM-Q;20;7.050000000000001;37108;dec/MIPLIB/miplib2010/cov1075.0.s.opb;SATISFIABLE;591;57206;113365;24509998;-;;
C3lENQGM5p4JomHKSyk0mw;100;3000;185348;dec/MIPLIB/miplib2010/cov1075.0.u.opb;UNKNOWN;0;0;0;0;-;;
